workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
100,display,3,207843,0,510,3456
100,display,3,131821,0,333,3454
100,display,3,231928,0,481,3454
100,display,3,148116,0,452,3458
100,display,3,130257,0,487,3456
100,display,3,132471,0,495,3456
100,display,3,124110,0,427,3458
100,display,3,157212,0,427,3458
100,display,3,168325,0,460,3460
100,display,3,206762,0,474,3456
100,display,3,162371,0,466,3456
100,display,3,81180,0,406,3449
100,display,3,155953,0,521,3455
100,display,3,171355,0,482,3456
100,display,3,173276,0,467,3456
100,display,3,149896,0,433,3458
100,display,3,63085,0,377,3445
100,display,3,179973,0,490,3454
100,display,3,138767,0,470,3451
100,display,3,170999,0,447,3454
100,display,3,169430,0,420,3456
100,display,3,248990,0,474,3460
100,display,3,156199,0,454,3458
100,display,3,146583,0,491,3458
100,display,3,158590,0,432,3460
100,display,3,151941,0,448,3451
100,display,3,177816,0,462,3455
100,display,3,256258,0,487,3454
100,display,3,158367,0,442,3455
100,display,3,219309,0,438,3456
100,display,3,190142,0,510,3449
100,display,3,169283,0,403,3453
100,display,3,129354,0,444,3456
100,display,3,97252,0,437,3456
100,display,3,126958,0,296,3455
100,display,3,151630,0,432,3456
100,display,3,156879,0,454,3456
100,display,3,189111,0,487,3454
100,display,3,130380,0,431,3456
100,display,3,148089,0,469,3454
100,display,3,176322,0,436,3456
100,display,3,125668,0,453,3446
100,display,3,201372,0,472,3460
100,display,3,225036,0,481,3458
100,display,3,139521,0,338,3456
100,display,3,125410,0,328,3455
100,display,3,145064,0,430,3460
100,display,3,216311,0,507,3458
100,display,3,143194,0,414,3456
100,display,3,443245,0,311,3455
100,display,3,152244,0,447,3455
100,display,3,117204,0,469,3456
100,display,3,148512,0,466,3455
100,display,3,214715,0,453,3458
100,display,3,251455,0,432,3460
100,display,3,202286,0,452,3458
100,display,3,109594,0,467,3458
100,display,3,157782,0,478,3456
100,display,3,175907,0,425,3459
100,display,3,158386,0,453,3456
100,display,3,208526,0,496,3455
100,display,3,113530,0,451,3456
100,display,3,235380,0,454,3456
100,display,3,136608,0,454,3449
100,display,3,127610,0,481,3455
100,display,3,420909,0,446,3451
100,display,3,203295,0,354,3447
100,display,3,198321,0,460,3454
