workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
200,display,3,110236,0,471,3451
200,display,3,139869,0,444,3456
200,display,3,111819,0,448,3460
200,display,3,110858,0,452,3456
200,display,3,183313,0,433,3456
200,display,3,155296,0,483,3455
200,display,3,184359,0,482,3460
200,display,3,156228,0,462,3455
200,display,3,104825,0,456,3460
200,display,3,154638,0,435,3456
200,display,3,149961,0,458,3454
200,display,3,143540,0,482,3458
200,display,3,122543,0,413,3451
200,display,3,161538,0,518,3455
200,display,3,157843,0,405,3458
200,display,3,118925,0,456,3460
200,display,3,186013,0,479,3460
300,display,3,157717,0,439,3456
300,display,3,123173,0,443,3456
300,display,3,140378,0,330,3455
300,display,3,150205,0,472,3451
300,display,3,149862,0,445,3455
300,display,3,183036,0,474,3451
300,display,3,126979,0,455,3456
300,display,3,79651,0,450,3455
300,display,3,172521,0,472,3460
300,display,3,196545,0,422,3455
300,display,3,272296,0,528,3456
300,display,3,153626,0,585,3612
300,display,3,183304,0,488,3456
300,display,3,162314,0,428,3454
300,display,3,183350,0,481,3460
300,display,3,267505,0,574,3456
300,display,3,150909,0,432,3455
300,display,3,256302,0,473,3458
300,display,3,156463,0,467,3456
300,display,3,112225,0,466,3456
300,display,3,143253,0,440,3456
300,display,3,117904,0,461,3456
300,display,3,129968,0,439,3460
300,display,3,167408,0,492,3456
300,display,3,142407,0,506,3456
300,display,3,264935,0,471,3460
300,display,3,206120,0,448,3460
300,display,3,177709,0,411,3454
300,display,3,132722,0,453,3460
300,display,3,181592,0,502,3451
300,display,3,194059,0,520,3455
300,display,3,174719,0,456,3456
300,display,3,132429,0,433,3460
300,display,3,197407,0,468,3454
300,display,3,241116,0,463,3456
300,display,3,142520,0,423,3451
300,display,3,144277,0,439,3453
300,display,3,166116,0,463,3456
300,display,3,142497,0,478,3454
300,display,3,282308,0,524,3460
300,display,3,143573,0,433,3458
300,display,3,149885,0,496,3460
300,display,3,175410,0,441,3454
300,display,3,176520,0,443,3456
300,display,3,117715,0,457,3457
300,display,3,103115,0,439,3456
300,display,3,134223,0,456,3454
300,display,3,206702,0,373,3455
300,display,3,139241,0,452,3449
300,display,3,142560,0,477,3456
300,display,3,169094,0,564,3455
300,display,3,120021,0,486,3456
300,display,3,151277,0,428,3460
300,display,3,177016,0,545,3456
300,display,3,277533,0,472,3460
300,display,3,145950,0,427,3456
300,display,3,163542,0,503,3456
300,display,3,131084,0,471,3454
300,display,3,121804,0,418,3454
300,display,3,131776,0,438,3458
300,display,3,170672,0,435,3455
300,display,3,141598,0,453,3454
300,display,3,185912,0,465,3460
300,display,3,166042,0,472,3456
300,display,3,134914,0,356,3452
300,display,3,137023,0,510,3456
300,display,3,250848,0,477,3455
300,display,3,170566,0,476,3460
300,display,3,175296,0,476,3456
300,display,3,176000,0,498,3456
300,display,3,145239,0,449,3456
300,display,3,126712,0,454,3451
300,display,3,146501,0,450,3456
300,display,3,109967,0,472,3460
300,display,3,122125,0,420,3456
300,display,3,184901,0,457,3456
300,display,3,118450,0,440,3458
300,display,3,226754,0,462,3455
300,display,3,144295,0,475,3460
300,display,3,167052,0,490,3456
300,display,3,168640,0,415,3456
300,display,3,191499,0,463,3456
300,display,3,99939,0,435,3456
300,display,3,198757,0,531,3456
300,display,3,225170,0,477,3460
300,display,3,140379,0,447,3460
300,display,3,156042,0,316,3455
300,display,3,147947,0,459,3451
300,display,3,234195,0,478,3456
300,display,3,126484,0,448,3455
300,display,3,111790,0,436,3454
300,display,3,189262,0,480,3454
300,display,3,196622,0,476,3453
300,display,3,133159,0,453,3449
300,display,3,152595,0,424,3449
300,display,3,145672,0,464,3456
300,display,3,164617,0,444,3458
300,display,3,197084,0,424,3456
300,display,3,416336,0,508,3456
300,display,3,205019,0,404,3454
400,display,3,148851,0,479,3456
400,display,3,139651,0,446,3455
400,display,3,231654,0,484,3451
400,display,3,137213,0,429,3460
400,display,3,249506,0,478,3454
400,display,3,116859,0,373,3456
400,display,3,250368,0,483,3456
400,display,3,141450,0,432,3458
400,display,3,120576,0,434,3456
400,display,3,120184,0,496,3454
400,display,3,180534,0,426,3451
400,display,3,150463,0,503,3455
400,display,3,121892,0,400,3455
400,display,3,98095,0,413,3455
400,display,3,205379,0,473,3454
400,display,3,223105,0,509,3456
400,display,3,157517,0,426,3456
400,display,3,107831,0,449,3458
400,display,3,212861,0,475,3456
400,display,3,214387,0,427,3454
400,display,3,122331,0,495,3449
400,display,3,149344,0,441,3451
400,display,3,167522,0,472,3456
400,display,3,138408,0,488,3460
400,display,3,201554,0,486,3449
400,display,3,165434,0,462,3460
400,display,3,162305,0,428,3454
400,display,3,119303,0,445,3456
400,display,3,145564,0,459,3454
400,display,3,145140,0,534,3460
400,display,3,170581,0,555,3458
400,display,3,152596,0,474,3458
400,display,3,128241,0,431,3460
400,display,3,148063,0,435,3458
400,display,3,186919,0,472,3453
400,display,3,111496,0,461,3456
400,display,3,251990,0,473,3456
400,display,3,162750,0,429,3460
400,display,3,129346,0,461,3460
400,display,3,164076,0,497,3460
400,display,3,141835,0,474,3451
400,display,3,139223,0,465,3456
400,display,3,268156,0,487,3456
400,display,3,130693,0,455,3454
400,display,3,226554,0,451,3460
400,display,3,192227,0,496,3451
400,display,3,154526,0,449,3451
400,display,3,137995,0,521,3460
400,display,3,132920,0,466,3456
400,display,3,171059,0,503,3449
400,display,3,185440,0,454,3455
400,display,3,145227,0,436,3460
400,display,3,171464,0,495,3458
400,display,3,386023,0,471,3456
400,display,3,171878,0,455,3455
400,display,3,249505,0,465,3456
400,display,3,123413,0,443,3460
400,display,3,561600,0,496,3455
400,display,3,198998,0,429,3452
400,display,3,131183,0,421,3456
400,display,3,132523,0,477,3455
400,display,3,143714,0,508,3456
