workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
400,display,3,107569,0,405,3461
400,display,3,86350,0,406,3461
400,display,3,98678,0,393,3455
400,display,3,99337,0,430,3457
400,display,3,99418,0,476,3455
400,display,3,91575,0,422,3457
400,display,3,94198,0,393,3461
400,display,3,71451,0,450,3455
400,display,3,120289,0,450,3457
400,display,3,107857,0,425,3459
400,display,3,90659,0,402,3455
400,display,3,109974,0,431,3455
400,display,3,100126,0,431,3461
400,display,3,120847,0,478,3457
400,display,3,94541,0,410,3456
400,display,3,92137,0,425,3457
400,display,3,97499,0,507,3450
400,display,3,105707,0,413,3457
400,display,3,98653,0,414,3457
400,display,3,105623,0,504,3461
400,display,3,124426,0,442,3457
400,display,3,85504,0,371,3457
400,display,3,108754,0,413,3450
400,display,3,119256,0,418,3461
400,display,3,102147,0,466,3461
400,display,3,73046,0,489,3456
400,display,3,89518,0,391,3461
400,display,3,77858,0,464,3460
400,display,3,64048,0,440,3456
400,display,3,98362,0,456,3457
400,display,3,100124,0,410,3452
400,display,3,211099,0,556,3450
400,display,3,104409,0,370,3456
400,display,3,92351,0,478,3455
400,display,3,93576,0,429,3457
400,display,3,100963,0,402,3456
400,display,3,104679,0,414,3461
400,display,3,98688,0,391,3457
400,display,3,116617,0,443,3461
500,display,3,64336,0,416,3449
500,display,3,97770,0,407,3456
500,display,3,97153,0,408,3461
500,display,3,120971,0,453,3461
500,display,3,71842,0,505,3455
500,display,3,88536,0,417,3455
500,display,3,84061,0,430,3461
500,display,3,105565,0,422,3452
500,display,3,91836,0,410,3457
500,display,3,98166,0,375,3455
500,display,3,76946,0,411,3457
500,display,3,101595,0,494,3456
500,display,3,63115,0,394,3456
500,display,3,104262,0,428,3461
500,display,3,98921,0,426,3459
500,display,3,107806,0,448,3455
500,display,3,94182,0,416,3457
500,display,3,104979,0,399,3457
500,display,3,88120,0,377,3456
500,display,3,171128,0,647,3456
500,display,3,100968,0,419,3461
500,display,3,99230,0,420,3452
500,display,3,99695,0,454,3455
500,display,3,92687,0,442,3452
500,display,3,122267,0,558,3459
500,display,3,104084,0,452,3461
500,display,3,100772,0,418,3461
500,display,3,132242,0,441,3457
500,display,3,117244,0,400,3456
500,display,3,95066,0,397,3455
500,display,3,93705,0,441,3457
500,display,3,102159,0,517,3455
500,display,3,96673,0,412,3461
500,display,3,104868,0,416,3456
500,display,3,101433,0,420,3455
500,display,3,66805,0,425,3456
500,display,3,92955,0,402,3455
500,display,3,108052,0,455,3450
500,display,3,91685,0,383,3457
500,display,3,99484,0,419,3461
500,display,3,94050,0,413,3457
500,display,3,95905,0,475,3456
500,display,3,95657,0,452,3457
500,display,3,121160,0,555,3450
500,display,3,113010,0,499,3461
500,display,3,94852,0,422,3457
500,display,3,94629,0,448,3450
500,display,3,102737,0,437,3461
500,display,3,89520,0,444,3452
500,display,3,93145,0,389,3455
500,display,3,106060,0,405,3457
500,display,3,93498,0,406,3457
500,display,3,105709,0,417,3450
500,display,3,98840,0,396,3455
500,display,3,121658,0,411,3452
500,display,3,101140,0,392,3452
500,display,3,98478,0,416,3459
500,display,3,98528,0,444,3457
500,display,3,91606,0,415,3461
500,display,3,91564,0,429,3452
500,display,3,99055,0,461,3447
500,display,3,92110,0,391,3452
500,display,3,100324,0,409,3452
500,display,3,100012,0,435,3455
500,display,3,89779,0,421,3461
500,display,3,100350,0,399,3461
500,display,3,89629,0,401,3447
500,display,3,89669,0,411,3457
500,display,3,93304,0,407,3461
500,display,3,89738,0,397,3459
500,display,3,110150,0,425,3457
500,display,3,101334,0,429,3461
500,display,3,92809,0,408,3457
500,display,3,98889,0,398,3457
500,display,3,88379,0,403,3455
500,display,3,98407,0,396,3455
500,display,3,124305,0,450,3457
500,display,3,105799,0,403,3459
500,display,3,85282,0,403,3452
500,display,3,101046,0,445,3457
500,display,3,103095,0,435,3461
500,display,3,95101,0,423,3457
500,display,3,102121,0,420,3459
500,display,3,224596,0,500,3456
500,display,3,101402,0,390,3455
500,display,3,121116,0,465,3459
500,display,3,101111,0,399,3461
500,display,3,98983,0,432,3450
500,display,3,124651,0,469,3452
500,display,3,88857,0,392,3459
500,display,3,94288,0,409,3457
500,display,3,93548,0,434,3448
500,display,3,88601,0,408,3452
500,display,3,112351,0,436,3457
500,display,3,116241,0,421,3461
500,display,3,93511,0,408,3457
500,display,3,100676,0,432,3457
500,display,3,114198,0,460,3461
500,display,3,95370,0,416,3452
500,display,3,93819,0,392,3461
600,display,3,98703,0,448,3456
600,display,3,156834,0,559,3607
600,display,3,92436,0,394,3461
600,display,3,109611,0,430,3455
600,display,3,103194,0,427,3461
600,display,3,90530,0,414,3457
600,display,3,103319,0,428,3457
600,display,3,87149,0,405,3452
600,display,3,88669,0,417,3457
600,display,3,89212,0,411,3461
600,display,3,90019,0,411,3456
600,display,3,115402,0,483,3447
600,display,3,98119,0,384,3457
600,display,3,84455,0,537,3461
600,display,3,92807,0,421,3451
600,display,3,108086,0,423,3457
600,display,3,94879,0,404,3459
600,display,3,101881,0,434,3461
600,display,3,98841,0,432,3461
600,display,3,88665,0,419,3455
600,display,3,104323,0,430,3456
600,display,3,100350,0,435,3457
600,display,3,102268,0,456,3455
600,display,3,98002,0,400,3457
600,display,3,99600,0,432,3461
600,display,3,91393,0,396,3461
600,display,3,90056,0,391,3455
600,display,3,91432,0,415,3457
600,display,3,101784,0,402,3459
600,display,3,93678,0,425,3457
600,display,3,90467,0,412,3457
600,display,3,108357,0,512,3452
600,display,3,94612,0,430,3450
600,display,3,94611,0,420,3457
600,display,3,91011,0,381,3461
