workload,function,version,elapsed time,perf_thread_page_fault,perf_thread_cache_misses,perf_thread_instructions
700,display,3,153957,0,465,3454
700,display,3,180387,0,477,3456
700,display,3,253725,0,477,3454
700,display,3,152664,0,478,3456
700,display,3,178435,0,455,3460
700,display,3,162280,0,508,3460
700,display,3,167753,0,432,3460
700,display,3,192392,0,386,3460
700,display,3,116369,0,402,3453
700,display,3,209131,0,434,3454
700,display,3,147367,0,436,3449
700,display,3,180119,0,371,3455
700,display,3,151479,0,460,3456
700,display,3,126295,0,457,3456
700,display,3,150348,0,520,3456
700,display,3,192581,0,471,3454
700,display,3,349760,0,484,3460
700,display,3,199818,0,350,3455
700,display,3,203760,0,454,3456
700,display,3,195099,0,459,3454
700,display,3,114985,0,465,3454
700,display,3,171100,0,437,3454
700,display,3,145546,0,447,3456
700,display,3,248344,0,473,3458
700,display,3,205458,0,472,3460
700,display,3,141895,0,411,3460
700,display,3,223016,0,443,3456
700,display,3,153683,0,426,3456
700,display,3,144403,0,428,3458
700,display,3,162812,0,463,3456
700,display,3,192498,0,461,3456
700,display,3,172784,0,460,3454
700,display,3,174254,0,514,3451
700,display,3,133526,0,488,3460
700,display,3,178776,0,469,3454
700,display,3,164739,0,470,3460
700,display,3,115219,0,506,3456
700,display,3,136095,0,493,3458
700,display,3,113838,0,439,3454
700,display,3,842757,0,449,3456
700,display,3,163144,0,480,3456
700,display,3,147663,0,430,3454
700,display,3,153813,0,445,3455
700,display,3,170604,0,487,3454
700,display,3,151534,0,426,3454
700,display,3,144942,0,443,3458
700,display,3,166394,0,419,3456
700,display,3,163047,0,541,3456
700,display,3,124373,0,440,3456
700,display,3,181191,0,440,3454
700,display,3,142832,0,438,3455
700,display,3,154766,0,436,3456
700,display,3,206342,0,481,3460
700,display,3,196246,0,369,3456
700,display,3,159760,0,435,3455
700,display,3,201353,0,339,3451
700,display,3,155340,0,512,3456
700,display,3,148517,0,463,3454
700,display,3,187759,0,476,3456
700,display,3,140794,0,448,3460
700,display,3,129577,0,426,3460
700,display,3,169944,0,437,3456
700,display,3,146703,0,454,3454
700,display,3,146642,0,400,3460
700,display,3,170177,0,484,3456
700,display,3,146883,0,453,3454
700,display,3,79262,0,398,3455
700,display,3,152608,0,482,3458
700,display,3,234838,0,410,3456
700,display,3,186595,0,556,3456
700,display,3,186625,0,525,3456
700,display,3,143786,0,473,3458
700,display,3,208856,0,505,3456
700,display,3,167522,0,461,3454
700,display,3,180942,0,472,3458
700,display,3,162472,0,474,3455
700,display,3,211589,0,363,3456
700,display,3,114043,0,462,3456
700,display,3,174086,0,501,3455
700,display,3,147597,0,447,3456
